"Year" "FID" "Sex" "AllCause"
"1" 1996 "AT11" "f" 959.498006897152
"2" 1996 "AT11" "m" 1645.10039036701
"3" 1996 "AT12" "f" 956.118478375424
"4" 1996 "AT12" "m" 1584.63854373596
"5" 1996 "AT13" "f" 941.129057237678
"6" 1996 "AT13" "m" 1559.09977578657
"7" 1996 "AT21" "f" 836.895240011157
"8" 1996 "AT21" "m" 1420.10836549365
"9" 1996 "AT22" "f" 902.794742382927
"10" 1996 "AT22" "m" 1513.79531978441
"11" 1996 "AT31" "f" 902.696507249903
"12" 1996 "AT31" "m" 1528.42097824459
"13" 1996 "AT32" "f" 858.691804996334
"14" 1996 "AT32" "m" 1377.5623846258
"15" 1996 "AT33" "f" 834.579909691962
"16" 1996 "AT33" "m" 1354.91160104248
"17" 1996 "AT34" "f" 812.278001434569
"18" 1996 "AT34" "m" 1376.30066635208
"19" 1996 "CH01" "f" 868.434893959984
"20" 1996 "CH01" "m" 1458.58172326892
"21" 1996 "CH02" "f" 679.849586192686
"22" 1996 "CH02" "m" 1157.31279736731
"23" 1996 "CH03" "f" 757.889983787348
"24" 1996 "CH03" "m" 1248.01970137817
"25" 1996 "CH04" "f" 773.571716336897
"26" 1996 "CH04" "m" 1256.09787532886
"27" 1996 "CH05" "f" 760.723416664879
"28" 1996 "CH05" "m" 1290.32627280679
"29" 1996 "CH06" "f" 753.735227807902
"30" 1996 "CH06" "m" 1253.22471442841
"31" 1996 "CH07" "f" 665.698957307082
"32" 1996 "CH07" "m" 1194.32942272278
"33" 1996 "CZ01" "f" 1116.04664916974
"34" 1996 "CZ01" "m" 1712.42572974255
"35" 1996 "CZ02" "f" 1250.88800537808
"36" 1996 "CZ02" "m" 2009.7261807522
"37" 1996 "CZ03" "f" 1225.26471603699
"38" 1996 "CZ03" "m" 1941.92276419618
"39" 1996 "CZ04" "f" 1344.57319313724
"40" 1996 "CZ04" "m" 2165.42112438281
"41" 1996 "CZ05" "f" 1171.79489309163
"42" 1996 "CZ05" "m" 1861.89667065481
"43" 1996 "CZ06" "f" 1124.99508149681
"44" 1996 "CZ06" "m" 1828.35918067149
"45" 1996 "CZ07" "f" 1173.56443646761
"46" 1996 "CZ07" "m" 1930.7642194389
"47" 1996 "CZ08" "f" 1226.15334885306
"48" 1996 "CZ08" "m" 2077.91508798118
"49" 1996 "DE1001" "f" 969.032449973123
"50" 1996 "DE1001" "m" 1613.57790158964
"51" 1996 "DE101" "f" 924.537590764284
"52" 1996 "DE101" "m" 1470.06929010087
"53" 1996 "DE102" "f" 900.012172063717
"54" 1996 "DE102" "m" 1503.6441494119
"55" 1996 "DE103" "f" 891.093184386986
"56" 1996 "DE103" "m" 1517.04279217488
"57" 1996 "DE104" "f" 922.777446747286
"58" 1996 "DE104" "m" 1453.73494925977
"59" 1996 "DE105" "f" 948.557009032149
"60" 1996 "DE105" "m" 1503.75617483307
"61" 1996 "DE1101" "f" 983.284152705687
"62" 1996 "DE1101" "m" 1582.36935301083
"63" 1996 "DE1201" "f" 972.81715227289
"64" 1996 "DE1201" "m" 1624.46479051774
"65" 1996 "DE1202" "f" 1011.45363615503
"66" 1996 "DE1202" "m" 1709.29712942211
"67" 1996 "DE1203" "f" 994.962126455507
"68" 1996 "DE1203" "m" 1635.96003500345
"69" 1996 "DE1204" "f" 1030.314282828
"70" 1996 "DE1204" "m" 1700.69153070496
"71" 1996 "DE1205" "f" 1044.87527519473
"72" 1996 "DE1205" "m" 1761.78654850458
"73" 1996 "DE1301" "f" 1043.64192658418
"74" 1996 "DE1301" "m" 1787.53988643975
"75" 1996 "DE1302" "f" 1011.76138488485
"76" 1996 "DE1302" "m" 1716.44002414638
"77" 1996 "DE1303" "f" 1013.64426139806
"78" 1996 "DE1303" "m" 1800.39834675171
"79" 1996 "DE1304" "f" 1011.40542003541
"80" 1996 "DE1304" "m" 1737.48363562215
"81" 1996 "DE1401" "f" 877.190260394589
"82" 1996 "DE1401" "m" 1471.91507690555
"83" 1996 "DE1402" "f" 957.549228930055
"84" 1996 "DE1402" "m" 1617.82682495724
"85" 1996 "DE1403" "f" 974.023344437739
"86" 1996 "DE1403" "m" 1661.67041456876
"87" 1996 "DE1404" "f" 976.327799672969
"88" 1996 "DE1404" "m" 1620.85371943866
"89" 1996 "DE1501" "f" 1028.56196198479
"90" 1996 "DE1501" "m" 1766.13904672423
"91" 1996 "DE1502" "f" 1016.92017943298
"92" 1996 "DE1502" "m" 1763.57690912338
"93" 1996 "DE1503" "f" 1034.26998539219
"94" 1996 "DE1503" "m" 1733.9050635219
"95" 1996 "DE1504" "f" 1028.16607500279
"96" 1996 "DE1504" "m" 1706.57566976068
"97" 1996 "DE1601" "f" 1012.29048427242
"98" 1996 "DE1601" "m" 1706.38199449422
"99" 1996 "DE1602" "f" 1073.05334325849
"100" 1996 "DE1602" "m" 1693.20699092
"101" 1996 "DE1603" "f" 995.533011126795
"102" 1996 "DE1603" "m" 1688.23832138407
"103" 1996 "DE1604" "f" 1044.61674785166
"104" 1996 "DE1604" "m" 1703.44022439844
"105" 1996 "DE201" "f" 905.332990436852
"106" 1996 "DE201" "m" 1475.71205128329
"107" 1996 "DE301" "f" 892.002915365133
"108" 1996 "DE301" "m" 1518.60270848049
"109" 1996 "DE302" "f" 916.662193234433
"110" 1996 "DE302" "m" 1528.83461530474
"111" 1996 "DE303" "f" 926.755578855676
"112" 1996 "DE303" "m" 1556.39012644489
"113" 1996 "DE304" "f" 876.969341511454
"114" 1996 "DE304" "m" 1468.89226746055
"115" 1996 "DE305" "f" 912.958389828962
"116" 1996 "DE305" "m" 1476.34274653866
"117" 1996 "DE306" "f" 926.637879027474
"118" 1996 "DE306" "m" 1461.54188030872
"119" 1996 "DE307" "f" 876.34372180011
"120" 1996 "DE307" "m" 1473.40990792038
"121" 1996 "DE308" "f" 906.365790172307
"122" 1996 "DE308" "m" 1514.78124986763
"123" 1996 "DE309" "f" 911.903283229273
"124" 1996 "DE309" "m" 1498.3425347709
"125" 1996 "DE310" "f" 866.899869814843
"126" 1996 "DE310" "m" 1445.81803829019
"127" 1996 "DE311" "f" 858.721189413362
"128" 1996 "DE311" "m" 1530.75001657334
"129" 1996 "DE312" "f" 914.720792559169
"130" 1996 "DE312" "m" 1541.61910659129
"131" 1996 "DE313" "f" 900.757990969178
"132" 1996 "DE313" "m" 1523.27139478765
"133" 1996 "DE401" "f" 866.636270297722
"134" 1996 "DE401" "m" 1512.44348456548
"135" 1996 "DE501" "f" 962.665258334943
"136" 1996 "DE501" "m" 1595.49205737195
"137" 1996 "DE502" "f" 921.423634369191
"138" 1996 "DE502" "m" 1548.84465543633
"139" 1996 "DE503" "f" 824.971265522639
"140" 1996 "DE503" "m" 1426.02106107272
"141" 1996 "DE504" "f" 930.588805006407
"142" 1996 "DE504" "m" 1610.44412981411
"143" 1996 "DE505" "f" 878.568728907374
"144" 1996 "DE505" "m" 1378.42854331284
"145" 1996 "DE506" "f" 943.621946868361
"146" 1996 "DE506" "m" 1630.60110201708
"147" 1996 "DE507" "f" 950.742411285145
"148" 1996 "DE507" "m" 1614.54814462331
"149" 1996 "DE508" "f" 925.240397432402
"150" 1996 "DE508" "m" 1541.77789691458
"151" 1996 "DE509" "f" 974.358054490023
"152" 1996 "DE509" "m" 1681.69645434218
"153" 1996 "DE510" "f" 934.990092161815
"154" 1996 "DE510" "m" 1499.75518920453
"155" 1996 "DE511" "f" 817.670413888914
"156" 1996 "DE511" "m" 1410.43515695145
"157" 1996 "DE512" "f" 849.972003947112
"158" 1996 "DE512" "m" 1493.94494193946
"159" 1996 "DE513" "f" 889.827253534182
"160" 1996 "DE513" "m" 1507.22479023178
"161" 1996 "DE601" "f" 923.692535640941
"162" 1996 "DE601" "m" 1482.85878395505
"163" 1996 "DE602" "f" 875.234289317808
"164" 1996 "DE602" "m" 1506.96585168158
"165" 1996 "DE603" "f" 849.016661166264
"166" 1996 "DE603" "m" 1364.87188597558
"167" 1996 "DE604" "f" 875.686793954713
"168" 1996 "DE604" "m" 1404.50159422873
"169" 1996 "DE605" "f" 923.310250896422
"170" 1996 "DE605" "m" 1446.71524130233
"171" 1996 "DE701" "f" 898.054241998275
"172" 1996 "DE701" "m" 1483.61386159192
"173" 1996 "DE702" "f" 892.507429018287
"174" 1996 "DE702" "m" 1444.12669423949
"175" 1996 "DE703" "f" 922.54472841417
"176" 1996 "DE703" "m" 1511.68057750764
"177" 1996 "DE704" "f" 891.307722936507
"178" 1996 "DE704" "m" 1501.19477582094
"179" 1996 "DE705" "f" 938.624669053112
"180" 1996 "DE705" "m" 1570.21434965592
"181" 1996 "DE801" "f" 806.201645350602
"182" 1996 "DE801" "m" 1338.554906069
"183" 1996 "DE802" "f" 834.822446063738
"184" 1996 "DE802" "m" 1398.477579741
"185" 1996 "DE803" "f" 864.787878574876
"186" 1996 "DE803" "m" 1418.42557143583
"187" 1996 "DE804" "f" 837.625138098534
"188" 1996 "DE804" "m" 1378.28854352317
"189" 1996 "DE805" "f" 868.607638538827
"190" 1996 "DE805" "m" 1438.98383085625
"191" 1996 "DE806" "f" 820.347202898971
"192" 1996 "DE806" "m" 1382.8215457443
"193" 1996 "DE807" "f" 849.627253723745
"194" 1996 "DE807" "m" 1415.5339635928
"195" 1996 "DE808" "f" 903.894735253536
