"Country";"Region";"Sex";"Age";"Cancer";"CVD";"External";"LungC";"Rest"
"AT";"AT11";"Men";0;0,0112502090532516;-0,00935885345602117;-0,0415508690713011;2,5955862767546e-05;-0,206803217329785
"AT";"AT11";"Men";10;0,00228431236358517;-0,0171909247678244;-0,148934291559939;7,24003368475223e-05;-0,0234833603710456
"AT";"AT11";"Men";20;-0,00357009767667194;-0,0167983706728521;-0,108843478045735;7,05479903473361e-06;-0,00699181862970732
"AT";"AT11";"Men";25;-0,00665059646067334;-0,0237033197354961;-0,104830238302014;-0,000647862429602242;-0,00894824134478256
"AT";"AT11";"Men";30;-0,0115165432395443;-0,0343890066511818;-0,0925803836209624;-0,00393177249046772;-0,0130982295261433
"AT";"AT11";"Men";35;-0,0202545162927876;-0,051156835376581;-0,0771996191932303;-0,0133835783346257;-0,0202750308483317
"AT";"AT11";"Men";40;-0,0354707635260283;-0,0770957952873772;-0,0613802179108234;-0,0304121889614137;-0,0319989560727549
"AT";"AT11";"Men";45;-0,0595405240081561;-0,116247704842067;-0,0468713569358385;-0,0486217309849479;-0,0493228461502255
"AT";"AT11";"Men";50;-0,0919116796853103;-0,173167137898467;-0,0345947599175673;-0,0539146126865262;-0,0705706573670355
"AT";"AT11";"Men";55;-0,1256756430382;-0,251288536885887;-0,0248371150052833;-0,0367434255353629;-0,0882208230084558
"AT";"AT11";"Men";60;-0,148190708852475;-0,348969247774988;-0,0174280117149621;-0,0126909818603025;-0,0895118266005781
"AT";"AT11";"Men";65;-0,150388608056424;-0,452874772757703;-0,0111254029022518;-0,00712719565972009;-0,069739165253651
"AT";"AT11";"Men";70;-0,131191623120294;-0,532754811817981;-0,00448026913518618;-0,0199074192287867;-0,0349422727179629
"AT";"AT11";"Men";75;-0,0956652460468348;-0,541352249664655;0,00298081130938499;-0,0303453556470217;0,00743991584806736
"AT";"AT11";"Men";80;-0,0536641203055694;-0,430909627581549;0,0101477252481388;-0,0246458475023132;0,0509542264953495
"AT";"AT11";"Men";85;-0,0295536679950956;-0,3428682561876;0,0250373471076628;-0,0193705010689555;0,147556323121393
"AT";"AT11";"Women";0;0,01110422807335;0,000471872322911793;0,0221158888218582;2,28709706107111e-06;0,0267335936398183
"AT";"AT11";"Women";10;0,0148459205691509;0,00780217541809236;0,0551998926610437;4,49667752420169e-05;-0,030922727561304
"AT";"AT11";"Women";20;0,0137026710719823;0,0106077610218236;0,0317269913549154;0,00032046871540814;-0,013239994135553
"AT";"AT11";"Women";25;0,0191560365914043;0,0153272933414073;0,0294031312175349;0,000933800244837357;-0,0125155597334796
"AT";"AT11";"Women";30;0,0263960362793512;0,0214285576453008;0,0269659171465619;0,002165375007948;-0,0126971403679477
"AT";"AT11";"Women";35;0,034842516847398;0,0293985808862942;0,0251039575158458;0,00380365392139481;-0,0137518001092332
"AT";"AT11";"Women";40;0,0434819356465255;0,0399556160361172;0,0234665537556324;0,00455833237985104;-0,0154317657828074
"AT";"AT11";"Women";45;0,0506682474508082;0,0541840925592751;0,0216237033647602;0,00125828861202848;-0,017298630740413
"AT";"AT11";"Women";50;0,0550196833774166;0,0742606749946901;0,019142536943761;-0,0107972292349388;-0,0186328747353386
"AT";"AT11";"Women";55;0,0575949630081993;0,105647745020605;0,0156780441996318;-0,0330830651322742;-0,0187101289397518
"AT";"AT11";"Women";60;0,0637181839542365;0,161627220526853;0,0111928183299881;-0,0553302977719525;-0,0178409780223063
"AT";"AT11";"Women";65;0,0765095872886192;0,25996333478578;0,00629774581613418;-0,0610156230260799;-0,0189034163757995
"AT";"AT11";"Women";70;0,0909680419594849;0,409687107289294;0,00180373306712056;-0,0456720216022291;-0,0273048121831536
"AT";"AT11";"Women";75;0,096762173917206;0,585193333917715;-0,0014760069848947;-0,0207383807013812;-0,051124988866448
"AT";"AT11";"Women";80;0,0839875815774533;0,672357267600091;-0,0025201110501385;-0,0018655389382829;-0,101053343795819
"AT";"AT11";"Women";85;0,0989827321723666;0,860677180894832;-0,000797881781188892;0,00914193930105256;-0,3473965262531
"AT";"AT12";"Men";0;-0,00474778837449463;-0,00246663771211786;-0,07170609513296;1,57894994856633e-07;-0,119283326321202
"AT";"AT12";"Men";10;-0,00546399291693689;-0,00542806917253813;-0,154226759736503;2,91630814075461e-06;-0,0306738478174537
"AT";"AT12";"Men";20;-0,00626352986820677;-0,00797986241758508;-0,102012105872141;2,25665648656559e-05;-0,0136947961013831
"AT";"AT12";"Men";25;-0,00951512089635287;-0,0137677874086606;-0,100167927083852;2,18607021338357e-05;-0,0158160453173934
"AT";"AT12";"Men";30;-0,0145035337875541;-0,0235976161606999;-0,0924210221644231;-0,000562208962051614;-0,0193662756957309
"AT";"AT12";"Men";35;-0,0221488439592434;-0,0397489965132252;-0,0813017930124715;-0,00443319874991488;-0,0242499330141897
"AT";"AT12";"Men";40;-0,0334988653062425;-0,065508644498216;-0,0685605165149497;-0,0161651041650899;-0,0303054845652539
"AT";"AT12";"Men";45;-0,0490878111933171;-0,105050078578522;-0,0555912445955897;-0,0344056016066148;-0,0364715867577488
"AT";"AT12";"Men";50;-0,0680159200273422;-0,163047537536833;-0,0433596046997522;-0,0458617853796639;-0,0403589991231357
"AT";"AT12";"Men";55;-0,0873572263541291;-0,243575728208349;-0,0324270921393222;-0,0386176987361466;-0,0387902760988652
"AT";"AT12";"Men";60;-0,103039931004488;-0,346738973724641;-0,0230111750945738;-0,0241917493154915;-0,0302279846697786
"AT";"AT12";"Men";65;-0,110892913311126;-0,459831513504639;-0,0146074645102416;-0,0204597514841183;-0,0158173846873169
"AT";"AT12";"Men";70;-0,106412184252733;-0,551616310384738;-0,00647699468046881;-0,0246578746572439;0,00341419835323364
"AT";"AT12";"Men";75;-0,0869112348619367;-0,574684838196276;0,00158309074035401;-0,0235898903710137;0,0269951624129234
"AT";"AT12";"Men";80;-0,055771708093225;-0,480089201684528;0,00881127042920582;-0,0134123194946767;0,0534394551924748
"AT";"AT12";"Men";85;-0,0416949331604144;-0,450020724311635;0,0242645053926935;-0,00604648118423512;0,134757567992324
"AT";"AT12";"Women";0;0,0052913026568433;0,0022246035140725;0,0209171455636579;2,64682327610899e-06;0,117882935978685
"AT";"AT12";"Women";10;0,00696949871711183;0,00499224870165449;0,0222529823455986;3,04503222636754e-05;0,0152973044027078
"AT";"AT12";"Women";20;0,00731927713680136;0,00588491856527895;0,0110162333203263;0,000151328196523082;0,00518574860249998
"AT";"AT12";"Women";25;0,01101105279308;0,00887549616892613;0,0105459658186717;0,000413614166582477;0,00556393747243078
"AT";"AT12";"Women";30;0,0162370891252905;0,0134335408986459;0,0102158848733751;0,000992464696146556;0,00620040660573551
"AT";"AT12";"Women";35;0,0228700756412081;0,0204479965415274;0,0101309963921068;0,00195570716230264;0,00669338819314902
"AT";"AT12";"Women";40;0,0307065422679784;0,0313271717552794;0,0101830463523385;0,00273117558413816;0,00647747756053008
"AT";"AT12";"Women";45;0,0393533417652492;0,0482922096903877;0,0102282345976406;0,00115374391275935;0,0043299206892442
"AT";"AT12";"Women";50;0,0485617055232836;0,0748961680181992;0,0101310213355177;-0,00645246372587138;-0,00145434513142817
"AT";"AT12";"Women";55;0,0589184694039133;0,116845518346999;0,00975707630981049;-0,0212965531966276;-0,0114847804146763
"AT";"AT12";"Women";60;0,0720907296793385;0,182801601289661;0,00893912407533293;-0,0359799298009165;-0,0221546405040201
"AT";"AT12";"Women";65;0,0864314646988333;0,28201091942762;0,00745764478362076;-0,0400174850504911;-0,0303958596198015
"AT";"AT12";"Women";70;0,0944201668995888;0,416805588570107;0,00489547781731403;-0,0319828662865831;-0,0402939868968062
"AT";"AT12";"Women";75;0,0866338299534775;0,563750098264926;0,00047289067303069;-0,0185210110753573;-0,0618809923840118
"AT";"AT12";"Women";80;0,0590788481244218;0,634619917215183;-0,006818948194379;-0,00699181337215293;-0,111756328121395
"AT";"AT12";"Women";85;0,0415360720726667;0,878854361094341;-0,0350150333801906;-0,00142113708813696;-0,397509851687445
"AT";"AT13";"Men";0;0,00163747382617174;0,00314556463784754;-0,0426771773408419;7,34041834604682e-05;0,000148826532942792
"AT";"AT13";"Men";10;-0,00158953907724424;0,00103863836567086;-0,137696634344174;0,000120236116210037;-0,0205707068780043
"AT";"AT13";"Men";20;-0,00383201421625046;-0,00562335024793015;-0,0996145886850073;-0,00012216825675182;-0,0179040535968795
"AT";"AT13";"Men";25;-0,00651431794747737;-0,0141427141555397;-0,0942566755359735;-0,000948815432117556;-0,0229339646625419
"AT";"AT13";"Men";30;-0,0108732341846149;-0,0296287382478937;-0,0806606557558993;-0,00383182031306006;-0,0294125284367723
"AT";"AT13";"Men";35;-0,018130921078388;-0,0550401760312056;-0,0643168534690304;-0,0114466403032409;-0,037043503178964
"AT";"AT13";"Men";40;-0,0298473994030175;-0,0931981333532121;-0,0482428367764527;-0,0267524333308558;-0,0448696767118761
"AT";"AT13";"Men";45;-0,0471513858307731;-0,145174454835995;-0,0342118491400427;-0,0486727449093678;-0,0499533149554239
"AT";"AT13";"Men";50;-0,0688038879014599;-0,209070184858888;-0,0229405000442569;-0,0661084617675911;-0,0471930411938004
"AT";"AT13";"Men";55;-0,0884773998549306;-0,280755679051332;-0,0144133362920087;-0,0615087252660658;-0,0317045774583775
"AT";"AT13";"Men";60;-0,0948406683651157;-0,356513650203134;-0,00823961398015882;-0,0352263147856888;-0,00471660653118988
"AT";"AT13";"Men";65;-0,0831046747565054;-0,428959947326568;-0,00390918548232833;-0,0112691345103499;0,0258523555001418
"AT";"AT13";"Men";70;-0,0608311343926147;-0,481048299474594;-0,000896523787908166;-0,00414869948638596;0,0532807053231963
"AT";"AT13";"Men";75;-0,0399261848773236;-0,487710755528489;0,00121633540954491;-0,00794389729394851;0,0739649907821232
"AT";"AT13";"Men";80;-0,0281067148569818;-0,422705888706368;0,00266038247085731;-0,0107453442108607;0,0862209119647872
"AT";"AT13";"Men";85;-0,042424476862287;-0,507385617844186;0,00662390669000246;-0,0164132032731104;0,160487999823417
"AT";"AT13";"Women";0;0,00265811621965639;0,00097306258744112;0,0332422807274781;-9,3642986946918e-05;0,10964491225181
"AT";"AT13";"Women";10;0,00169049949180078;0,00324049936065052;0,0414573449514606;-0,000297541578873961;0,0319705257156642
"AT";"AT13";"Women";20;0,00299518651517161;0,00559808572449327;0,0273332283911714;-0,000316356485534186;0,0108153752335625
"AT";"AT13";"Women";25;0,00603977928891908;0,00969200241627277;0,0285730122960786;-0,000155377617886643;0,0103847092311966
"AT";"AT13";"Women";30;0,0116287879980561;0,0161442132537744;0,0266563314470432;0,000738688290461198;0,0106868377608649
"AT";"AT13";"Women";35;0,0211660136112073;0,0259219133414419;0,0214381499773921;0,00303076105886646;0,0112942727201428
"AT";"AT13";"Women";40;0,0363146044445699;0,040409255291749;0,0147343838859584;0,00679510902763525;0,011510433152452
"AT";"AT13";"Women";45;0,0578491916158654;0,0613487885226149;0,00826151095852623;0,00982222255458964;0,00987030245057952
"AT";"AT13";"Women";50;0,0834892771804689;0,0909504699150361;0,00306836731511595;0,00665394444988721;0,00393774598970253
"AT";"AT13";"Women";55;0,105417033372746;0,132273973141622;-0,000424124594360364;-0,00808907049218988;-0,00880433549328075
"AT";"AT13";"Women";60;0,11088690823243;0,189734754853831;-0,00217553081903077;-0,0313599875456703;-0,0280821284286574
"AT";"AT13";"Women";65;0,0950286179720834;0,267698411709176;-0,00266782472002092;-0,0495478575790003;-0,0521381281441364
"AT";"AT13";"Women";70;0,0668096868965904;0,366504770014139;-0,00252946266488152;-0,0502311703636735;-0,0822724400609118
"AT";"AT13";"Women";75;0,0404608350070745;0,473163971037252;-0,00218772195522376;-0,0338796923745051;-0,122196807713109
"AT";"AT13";"Women";80;0,0264429361794711;0,538372378508832;-0,00204823666222609;-0,0131644900732297;-0,176016872162322
"AT";"AT13";"Women";85;0,0473029186210567;0,910458408790944;-0,00588540097435697;-0,000495154787650165;-0,481533680295776
"AT";"AT21";"Men";0;-0,0176071228547272;-0,00594097468036381;-0,0794540134859076;7,37369276748723e-09;-0,135220017526308
"AT";"AT21";"Men";10;-0,0109418485598027;-0,00954999894032227;-0,106550283368087;-1,00423101656588e-06;-0,0233629650608478
"AT";"AT21";"Men";20;-0,00585717924221996;-0,00948707712769448;-0,0407000684917165;-4,99489634080419e-05;-0,00928084740591828
"AT";"AT21";"Men";25;-0,00708356528064513;-0,0138852406161831;-0,0294467764499302;-0,000321494605550754;-0,0116247296865168
"AT";"AT21";"Men";30;-0,00929142988955789;-0,0210956521638295;-0,0226544384595613;-0,00155596048115569;-0,0151999266725298
"AT";"AT21";"Men";35;-0,0127929740458868;-0,0330177898524298;-0,0220524247101963;-0,00557309863643241;-0,0194811901500458
"AT";"AT21";"Men";40;-0,0179468979300736;-0,0523758532792016;-0,0250212134328009;-0,01490486482016;-0,0240290633925682
"AT";"AT21";"Men";45;-0,0249286699996034;-0,0827391316834607;-0,0283623233184898;-0,0296596029467437;-0,0275049825887308
"AT";"AT21";"Men";50;-0,0334811130993202;-0,127986507010647;-0,0298112631502647;-0,0434241306306902;-0,0275716110707336
"AT";"AT21";"Men";55;-0,0429263445312245;-0,190771643472722;-0,0282361241067122;-0,0478531454194666;-0,0220161441741098
"AT";"AT21";"Men";60;-0,0526269273586593;-0,269260077399949;-0,0232855263661236;-0,0481999672320086;-0,0113768417675715
"AT";"AT21";"Men";65;-0,0619843121541805;-0,353593948131007;-0,0159320080634586;-0,053863158057851;0,00192908293710303
