"Cause" "Contr" "FID" "Country"
"1" NA NA NA NA
"2" "LungC" 13.4565709662192 "AT11" "AT"
"3" "Cancer" 18.4192795451303 "AT11" "AT"
"4" "CVD" 45.6773101771039 "AT11" "AT"
"5" "External" 4.83273674565135 "AT11" "AT"
"6" "Rest" 17.6141025658952 "AT11" "AT"
"7" "Sum" 100 "AT11" "AT"
"8" "LungC" 12.7376457762451 "AT12" "AT"
"9" "Cancer" 11.0865049414697 "AT12" "AT"
"10" "CVD" 56.8525729129271 "AT12" "AT"
"11" "External" 7.07981116575392 "AT12" "AT"
"12" "Rest" 12.2434652036042 "AT12" "AT"
"13" "Sum" 100 "AT12" "AT"
"14" "LungC" 13.2963063058844 "AT13" "AT"
"15" "Cancer" 3.48625521824528 "AT13" "AT"
"16" "CVD" 67.8377762916454 "AT13" "AT"
"17" "External" 6.13725939108828 "AT13" "AT"
"18" "Rest" 9.24240279313671 "AT13" "AT"
"19" "Sum" 100 "AT13" "AT"
"20" "LungC" 25.2955027687452 "AT21" "AT"
"21" "Cancer" 7.52682044237913 "AT21" "AT"
"22" "CVD" 52.6808784441694 "AT21" "AT"
"23" "External" 5.56915906652552 "AT21" "AT"
"24" "Rest" 8.92763927818079 "AT21" "AT"
"25" "Sum" 100 "AT21" "AT"
"26" "LungC" 18.1011919367392 "AT22" "AT"
"27" "Cancer" 9.84295277190205 "AT22" "AT"
"28" "CVD" 58.5389164902113 "AT22" "AT"
"29" "External" 5.28935230033763 "AT22" "AT"
"30" "Rest" 8.22758650080968 "AT22" "AT"
"31" "Sum" 99.9999999999999 "AT22" "AT"
"32" "LungC" 16.6218083754691 "AT31" "AT"
"33" "Cancer" 7.90229806753199 "AT31" "AT"
"34" "CVD" 59.5756042950376 "AT31" "AT"
"35" "External" 4.553798118491 "AT31" "AT"
"36" "Rest" 11.3464911434703 "AT31" "AT"
"37" "Sum" 100 "AT31" "AT"
"38" "LungC" 19.7609536182899 "AT32" "AT"
"39" "Cancer" 3.76330062723888 "AT32" "AT"
"40" "CVD" 52.2626450832342 "AT32" "AT"
"41" "External" 11.0313130627633 "AT32" "AT"
"42" "Rest" 13.181787608474 "AT32" "AT"
"43" "Sum" 100 "AT32" "AT"
